"","id","text","lang","author_id","created_at","clean_text"
"73","1581339918856441856","President @KagutaMuseveni prohibits movement into and out of Mubende and the sorrounding districts because of #Ebola.  What's the fate of commuters crossing the districts from the direction of Kampala and Fort Portal city areas? @ntvuganda #NTVNews","en","2302657645","2022-10-15T17:43:11.000Z","presidentprohibits movement into and out of mubende and the sorrounding districts because of ebolawhats the fate of commuters crossing the districts from the direction of kampala and fo poal city areasntvnews"
"74","1581339899906514944","There will be curfew in Mubende and Kasanda districts starting from 7 pm to 6 am in the morning - President Museveni

#NTVNews #M7Address #Ebola https://t.co/frQHoE3JXG","en","109220563","2022-10-15T17:43:06.000Z","there will be curfew in mubende and kasanda districts staing frompm toam in the morningpresident museveni  ntvnews maddress ebola"
"75","1581339893779017728","President Museveni: As I have told you many times, this disease (Ebola) is survivable, and to prove that, so far, 20 people have recovered from the Ebola virus.

#M7Address https://t.co/zyZ4SULNl5","en","1548481578556276741","2022-10-15T17:43:05.000Z","president museveni as i have told you many times this disease ebola is survivable and to prove that so farpeople have recovered from the ebola virus  maddress"
"76","1581339879539343363","#EbolaOutbreak: President Museveni says, ""We now have a total of 58 confirmed cases and 19 deaths. As I have told you many times, this #Ebola is survivable, and to prove that, so far, 20 people have recovered from the Ebola virus.""
#ChimpReportsNews #M7Address @MinofHealthUG https://t.co/cnxM1BweBA","en","388368711","2022-10-15T17:43:01.000Z","ebolaoutbreak president museveni says we now have a total ofconfirmed cases anddeaths as i have told you many times this ebola is survivable and to prove that so farpeople have recovered from the ebola virus chimpreposnews maddress"
"77","1581339863906848769","It's high time we turn our attention to the EBOLA outbreak in Uganda with precautionary measures here in 🇸🇱. It's Uganda today and it can be any other country tomorrow; this is how we underated this virus in 2014 that resulted to the lost of thousands of Sierra Leoneans.","en","1548966091090796544","2022-10-15T17:42:58.000Z","its high time we turn our attention to the ebola outbreak in uganda with precautionary measures here inits uganda today and it can be any other country tomorrow this is how we underated this virus inthat resulted to the lost of thousands of sierra leoneans"
"78","1581339836836761600","President Museveni: As I have told you many times, this disease (Ebola) is survivable, and to prove that, so far, 20 people have recovered from the Ebola virus.

#M7Address https://t.co/zTTucUK4tG","en","1296781235054940160","2022-10-15T17:42:51.000Z","president museveni as i have told you many times this disease ebola is survivable and to prove that so farpeople have recovered from the ebola virus  maddress"
"79","1581339816154628096","President Museveni: I have come for the 3rd time to talk to you about Ebola that we have in the districts of Mubende, Kyegegwa, Kassanda, Kagadi, and Bunyangabu.

We now have a total of 58 confirmed cases and 19 deaths. https://t.co/x4E4J61HQy","en","1568227932874604545","2022-10-15T17:42:46.000Z","president museveni i have come for the rd time to talk to you about ebola that we have in the districts of mubende kyegegwa kassanda kagadi and bunyangabu  we now have a total ofconfirmed cases anddeaths"
"80","1581339814942879744","Mubende and Kasanda districts get curfew from 7pm to 6am - presudent Museveni #Ebola","en","62932063","2022-10-15T17:42:46.000Z","mubende and kasanda districts get curfew from pm to ampresudent museveni ebola"
"81","1581339778414362624","It has been about 2 months since people started dying of Ebola quietly in their villages. The ones who cannot be advised are the ones spreading it recklessly. It is an easy disease to manage - President Museveni 
#M7Address https://t.co/NP8BDCko0u","en","1542936951283716096","2022-10-15T17:42:37.000Z","it has been aboutmonths since people staed dying of ebola quietly in their villages the ones who cannot be advised are the ones spreading it recklessly it is an easy disease to managepresident museveni  maddress"
"82","1581339729764659200","*UGANDA'S PRESIDENT MUSEVENI: MOVEMENT OUT OF AND INTO TWO DISTRICTS IMPACTED BY EBOLA IS PROHIBITED. - REUTERS","en","946218357551853569","2022-10-15T17:42:26.000Z","ugandas president museveni movement out of and into two districts impacted by ebola is prohibitedreuters"
